Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINE10,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE11,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE12,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE13,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE14,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE15, 1.16415E-010,   180.00, 5.82077E-011,    90.00, 3.63798E-012,     0.00,          0,     0.00, 1.26913E-010,   152.70, 1.16415E-010,     0.00, 5.82077E-011,   -90.00, 3.63798E-012,   180.00,          0,     0.00, 1.26913E-010,   -27.30
Line.LINE16,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE17,          0,     0.00, 2.32831E-010,   180.00, 2.32831E-010,    90.00,          0,     0.00, 3.29272E-010,   135.00,          0,     0.00, 2.32831E-010,     0.00, 2.32831E-010,   -90.00,          0,     0.00, 3.29272E-010,   -45.00
Line.LINE18,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE19,          0,     0.00,          0,     0.00, 7.27596E-012,   180.00,          0,     0.00, 7.27596E-012,   180.00,          0,     0.00,          0,     0.00, 7.27596E-012,     0.00,          0,     0.00, 7.27596E-012,     0.00
Line.LINE20,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE21, 2.32831E-010,     0.00, 1.16415E-010,   -90.00, 2.32831E-010,    90.00,          0,     0.00, 2.60313E-010,    26.57, 2.32831E-010,   180.00, 1.16415E-010,    90.00, 2.32831E-010,   -90.00,          0,     0.00, 2.60313E-010,  -153.43
Line.LINE22,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE23, 5.20625E-010,   -26.57, 4.79993E-010,  -165.96, 4.65718E-010,    90.90,          0,     0.00, 1.16642E-010,    93.58, 5.20625E-010,   153.43, 4.79993E-010,    14.04, 4.65718E-010,   -89.10,          0,     0.00, 1.16642E-010,   -86.42
Line.LINE24,    197.944,   -41.66,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     52.953,   -79.57,    197.944,   138.34,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     52.953,   100.43
Line.LINE25, 2.60313E-010,   -26.57, 4.97326E-010,  -159.44, 2.32831E-010,    90.00,          0,     0.00, 2.39996E-010,  -165.96, 2.60313E-010,   153.43, 4.97326E-010,    20.56, 2.32831E-010,   -90.00,          0,     0.00, 2.39996E-010,    14.04
Line.LINE26,    22.3942,   -41.87, 1.26352E-009,    23.57, 1.2951E-009,   -96.07,          0,     0.00,    22.3942,   -41.87,    22.3942,   138.13, 1.26352E-009,  -156.43, 1.2951E-009,    83.93,          0,     0.00,    22.3942,   138.13
Line.LINE27,     175.55,   -41.63,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     37.802,  -100.81,     175.55,   138.37,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     37.802,    79.19
Line.LINE28, 1.16415E-010,   -90.00, 1.30156E-010,  -153.43, 3.63798E-012,   180.00,          0,     0.00, 2.1191E-010,  -124.51, 1.16415E-010,    90.00, 1.30156E-010,    26.57, 3.63798E-012,     0.00,          0,     0.00, 2.1191E-010,    55.49
Line.LINE29,    13.4368,   -41.87, 4.3507E-011,    46.59, 1.49998E-011,   -75.96,          0,     0.00,    13.4368,   -41.87,    13.4368,   138.13, 4.3507E-011,  -133.41, 1.49998E-011,   104.04,          0,     0.00,    13.4368,   138.13
Line.LINE30,    8.95736,   -41.87, 1.21525E-009,    24.88, 1.25908E-009,   -96.30,          0,     0.00,    8.95736,   -41.87,    8.95736,   138.13, 1.21525E-009,  -155.12, 1.25908E-009,    83.70,          0,     0.00,    8.95736,   138.13
Line.LINE31,     175.55,   -41.63,    174.285,  -162.18,    135.678,    78.25,          0,     0.00,     37.802,  -100.81,     175.55,   138.37,    174.285,    17.82,    135.678,  -101.75,          0,     0.00,     37.802,    79.19
Line.LINE32, 2.74565E-010,   -32.01, 2.91038E-010,  -143.13, 3.49251E-010,    89.70,          0,     0.00, 2.91606E-011,    86.42, 2.74565E-010,   147.99, 2.91038E-010,    36.87, 3.49251E-010,   -90.30,          0,     0.00, 2.91606E-011,   -93.58
Line.LINE33,    13.4368,   -41.87, 5.02833E-012,   -64.74, 7.27596E-012,   -90.00,          0,     0.00,    13.4368,   -41.87,    13.4368,   138.13, 5.02833E-012,   115.26, 7.27596E-012,    90.00,          0,     0.00,    13.4368,   138.13
Line.LINE34,    8.95736,   -41.87, 2.05358E-009,    16.04, 1.86355E-009,   -91.79,          0,     0.00,    8.95736,   -41.87,    8.95736,   138.13, 2.05358E-009,  -163.96, 1.86355E-009,    88.21,          0,     0.00,    8.95736,   138.13
Line.LINE35, 1.86731E-010,   143.09,    17.9708,  -162.00, 4.43909E-011,   -29.45,          0,     0.00,    17.9708,  -162.00, 1.86731E-010,   -36.91,    17.9708,    18.00, 4.43909E-011,   150.55,          0,     0.00,    17.9708,    18.00
Line.LINE36,     175.55,   -41.63,    156.314,  -162.20,    135.678,    78.25,          0,     0.00,    33.1244,   -72.43,     175.55,   138.37,    156.314,    17.80,    135.678,  -101.75,          0,     0.00,    33.1244,   107.57
Line.LINE37, 2.91038E-010,   -36.87, 2.09871E-010,  -146.31, 1.74632E-010,    90.60,          0,     0.00, 1.29353E-010,   -64.16, 2.91038E-010,   143.13, 2.09871E-010,    33.69, 1.74632E-010,   -89.40,          0,     0.00, 1.29353E-010,   115.84
Line.LINE38,    8.95736,   -41.87, 4.26421E-010,   119.52, 4.69285E-010,   -97.13,          0,     0.00,    8.95736,   -41.87,    8.95736,   138.13, 4.26421E-010,   -60.48, 4.69285E-010,    82.87,          0,     0.00,    8.95736,   138.13
Line.LINE39, 1.11528E-010,   151.24,    8.98547,  -162.00, 3.63798E-011,     0.00,          0,     0.00,    8.98547,  -162.00, 1.11528E-010,   -28.76,    8.98547,    18.00, 3.63798E-011,   180.00,          0,     0.00,    8.98547,    18.00
Line.LINE40, 2.66919E-011,   179.02,    8.98535,  -162.00, 1.81899E-012,   180.00,          0,     0.00,    8.98535,  -162.00, 2.66919E-011,    -0.98,    8.98535,    18.00, 1.81899E-012,     0.00,          0,     0.00,    8.98535,    18.00
Line.LINE41,     175.55,   -41.63,    156.314,  -162.20,    135.678,    78.25,          0,     0.00,    33.1244,   -72.43,     175.55,   138.37,    156.314,    17.80,    135.678,  -101.75,          0,     0.00,    33.1244,   107.57
Line.LINE42, 9.06022E-009,  -152.45, 1.06034E-008,   -19.23, 1.50909E-008,    38.11,          0,     0.00, 1.3949E-008,     6.71, 9.06022E-009,    27.55, 1.06034E-008,   160.77, 1.50909E-008,  -141.89,          0,     0.00, 1.3949E-008,  -173.29
Line.LINE43, 4.79993E-010,   -14.04, 5.20625E-010,  -153.43, 4.65661E-010,    90.00,          0,     0.00, 1.16415E-010,    90.00, 4.79993E-010,   165.96, 5.20625E-010,    26.57, 4.65661E-010,   -90.00,          0,     0.00, 1.16415E-010,   -90.00
Line.LINE44,    8.95736,   -41.87, 7.13378E-010,   178.25, 2.39996E-010,   104.04,          0,     0.00,    8.95736,   -41.87,    8.95736,   138.13, 7.13378E-010,    -1.75, 2.39996E-010,   -75.96,          0,     0.00,    8.95736,   138.13
Line.LINE45, 2.49703E-010,    29.69,    8.98547,  -162.00, 1.45519E-011,     0.00,          0,     0.00,    8.98547,  -162.00, 2.49703E-010,  -150.31,    8.98547,    18.00, 1.45519E-011,   180.00,          0,     0.00,    8.98547,    18.00
Line.LINE46, 5.06266E-012,   173.55,    8.98535,  -162.00, 7.27596E-012,   -90.00,          0,     0.00,    8.98535,  -162.00, 5.06266E-012,    -6.45,    8.98535,    18.00, 7.27596E-012,    90.00,          0,     0.00,    8.98535,    18.00
Line.LINE47,     175.55,   -41.63,    156.314,  -162.20,    135.678,    78.25,          0,     0.00,    33.1244,   -72.43,     175.55,   138.37,    156.314,    17.80,    135.678,  -101.75,          0,     0.00,    33.1244,   107.57
Line.LINE48, 8.23839E-009,  -137.29, 7.12325E-009,   -11.31, 1.31131E-008,    16.50,          0,     0.00, 1.3892E-008,   -13.57, 8.23839E-009,    42.71, 7.12325E-009,   168.69, 1.31131E-008,  -163.50,          0,     0.00, 1.3892E-008,   166.43
Line.LINE49, 3.68138E-010,   -18.43, 2.32831E-010,   180.00, 2.32831E-010,    90.00,          0,     0.00, 1.64636E-010,    45.00, 3.68138E-010,   161.57, 2.32831E-010,     0.00, 2.32831E-010,   -90.00,          0,     0.00, 1.64636E-010,  -135.00
Line.LINE50,    8.95736,   -41.87, 1.39494E-010,    12.04, 1.19998E-010,  -104.04,          0,     0.00,    8.95736,   -41.87,    8.95736,   138.13, 1.39494E-010,  -167.96, 1.19998E-010,    75.96,          0,     0.00,    8.95736,   138.13
Line.LINE51, 7.73712E-011,    17.80,    8.98547,  -162.00, 1.16415E-010,   -90.00,          0,     0.00,    8.98547,  -162.00, 7.73712E-011,  -162.20,    8.98547,    18.00, 1.16415E-010,    90.00,          0,     0.00,    8.98547,    18.00
Line.LINE52,     175.55,   -41.63,    156.314,  -162.20,    135.678,    78.25,          0,     0.00,    33.1244,   -72.43,     175.55,   138.37,    156.314,    17.80,    135.678,  -101.75,          0,     0.00,    33.1244,   107.57
Line.LINE53, 3.20658E-009,   -33.62, 3.05021E-009,  -138.09, 3.49549E-010,   -87.61,          0,     0.00, 4.18246E-009,   -84.31, 3.20658E-009,   146.38, 3.05021E-009,    41.91, 3.49549E-010,    92.39,          0,     0.00, 4.18246E-009,    95.69
Line.LINE54, 8.8353E-009,  -161.57, 7.04673E-009,     7.59, 1.13396E-008,    19.18,          0,     0.00, 9.49766E-009,    11.31, 8.8353E-009,    18.43, 7.04673E-009,  -172.41, 1.13396E-008,  -160.82,          0,     0.00, 9.49766E-009,  -168.69
Line.LINE55, 1.16415E-010,    90.00, 1.64636E-010,    45.00, 1.16642E-010,   -86.42,          0,     0.00, 1.69859E-010,    43.26, 1.16415E-010,   -90.00, 1.64636E-010,  -135.00, 1.16642E-010,    93.58,          0,     0.00, 1.69859E-010,  -136.74
Line.LINE56,    8.95736,   -41.87, 1.17099E-010,    19.98, 1.16415E-010,    90.00,          0,     0.00,    8.95736,   -41.87,    8.95736,   138.13, 1.17099E-010,  -160.02, 1.16415E-010,   -90.00,          0,     0.00,    8.95736,   138.13
Line.LINE57, 1.30689E-010,   145.20,    8.98547,  -162.00, 4.65889E-010,    88.21,          0,     0.00,    8.98547,  -162.00, 1.30689E-010,   -34.80,    8.98547,    18.00, 4.65889E-010,   -91.79,          0,     0.00,    8.98547,    18.00
Line.LINE58,     175.55,   -41.63,    156.314,  -162.20,    135.678,    78.25,          0,     0.00,    33.1244,   -72.43,     175.55,   138.37,    156.314,    17.80,    135.678,  -101.75,          0,     0.00,    33.1244,   107.57
Line.LINE59, 2.26038E-009,   -11.89, 4.29476E-009,  -147.17, 9.59985E-010,   104.04,          0,     0.00, 2.47502E-009,  -131.19, 2.26038E-009,   168.11, 4.29476E-009,    32.83, 9.59985E-010,   -75.96,          0,     0.00, 2.47502E-009,    48.81
Line.LINE60, 8.12242E-009,  -152.70, 9.09233E-009,    -2.94, 1.04644E-008,    20.85,          0,     0.00, 1.16508E-008,    -2.29, 8.12242E-009,    27.30, 9.09233E-009,   177.06, 1.04644E-008,  -159.15,          0,     0.00, 1.16508E-008,   177.71
Line.LINE61, 1.16415E-010,     0.00,          0,     0.00, 3.63798E-012,   180.00,          0,     0.00, 1.12777E-010,     0.00, 1.16415E-010,   180.00,          0,     0.00, 3.63798E-012,     0.00,          0,     0.00, 1.12777E-010,   180.00
Line.LINE62,    8.95736,   -41.87, 2.20239E-011,  -130.18, 5.84629E-011,   -95.36,          0,     0.00,    8.95736,   -41.87,    8.95736,   138.13, 2.20239E-011,    49.82, 5.84629E-011,    84.64,          0,     0.00,    8.95736,   138.13
Line.LINE63, 3.80496E-010,    12.14,    8.98547,  -162.00, 6.99098E-010,    87.61,          0,     0.00,    8.98547,  -162.00, 3.80496E-010,  -167.86,    8.98547,    18.00, 6.99098E-010,   -92.39,          0,     0.00,    8.98547,    18.00
Line.LINE64,    157.403,   -41.62,    156.314,  -162.20,    135.678,    78.25,          0,     0.00,      19.81,  -100.28,    157.403,   138.38,    156.314,    17.80,    135.678,  -101.75,          0,     0.00,      19.81,    79.72
Line.LINE65,    18.1462,   -41.77, 6.25284E-012,  -133.34, 7.29015E-012,    86.42,          0,     0.00,    18.1462,   -41.77,    18.1462,   138.23, 6.25284E-012,    46.66, 7.29015E-012,   -93.58,          0,     0.00,    18.1462,   138.23
Line.LINE66, 1.5134E-009,   -67.38, 3.83332E-009,  -138.08, 1.31709E-009,    45.00,          0,     0.00, 3.30966E-009,  -113.86, 1.5134E-009,   112.62, 3.83332E-009,    41.92, 1.31709E-009,  -135.00,          0,     0.00, 3.30966E-009,    66.14
Line.LINE67, 7.73965E-009,  -173.09, 2.09548E-009,     0.00, 1.133E-008,     9.46,          0,     0.00, 5.66501E-009,     9.46, 7.73965E-009,     6.91, 2.09548E-009,   180.00, 1.133E-008,  -170.54,          0,     0.00, 5.66501E-009,  -170.54
Line.LINE68, 1.16415E-010,   180.00, 5.82077E-011,    90.00, 3.63798E-012,   180.00,          0,     0.00, 1.3342E-010,   154.13, 1.16415E-010,     0.00, 5.82077E-011,   -90.00, 3.63798E-012,     0.00,          0,     0.00, 1.3342E-010,   -25.87
Line.LINE69,    8.95736,   -41.87, 9.68009E-012,   -12.89, 7.27596E-012,    90.00,          0,     0.00,    8.95736,   -41.87,    8.95736,   138.13, 9.68009E-012,   167.11, 7.27596E-012,   -90.00,          0,     0.00,    8.95736,   138.13
Line.LINE70, 3.3008E-010,   167.27,    8.98547,  -162.00, 1.45519E-011,     0.00,          0,     0.00,    8.98547,  -162.00, 3.3008E-010,   -12.73,    8.98547,    18.00, 1.45519E-011,   180.00,          0,     0.00,    8.98547,    18.00
Line.LINE71,    157.403,   -41.62,    156.314,  -162.20,    135.678,    78.25,          0,     0.00,      19.81,  -100.28,    157.403,   138.38,    156.314,    17.80,    135.678,  -101.75,          0,     0.00,      19.81,    79.72
Line.LINE72,    9.07308,   -41.77, 2.89901E-012,    28.07, 1.45519E-011,   -90.00,          0,     0.00,    9.07308,   -41.77,    9.07308,   138.23, 2.89901E-012,  -151.93, 1.45519E-011,    90.00,          0,     0.00,    9.07308,   138.23
Line.LINE73,    9.07308,   -41.77, 2.89901E-012,    28.07, 1.45519E-011,   -90.00,          0,     0.00,    9.07308,   -41.77,    9.07308,   138.23, 2.89901E-012,  -151.93, 1.45519E-011,    90.00,          0,     0.00,    9.07308,   138.23
Line.LINE74, 8.23695E-010,   -57.99, 1.93841E-009,  -138.65, 6.18756E-010,    48.81,          0,     0.00, 1.63215E-009,  -111.99, 8.23695E-010,   122.01, 1.93841E-009,    41.35, 6.18756E-010,  -131.19,          0,     0.00, 1.63215E-009,    68.01
Line.LINE75, 4.4801E-009,  -155.43, 4.69285E-009,   -23.39, 1.2495E-008,    26.57,          0,     0.00, 1.15598E-008,     9.27, 4.4801E-009,    24.57, 4.69285E-009,   156.61, 1.2495E-008,  -153.43,          0,     0.00, 1.15598E-008,  -170.73
Line.LINE76, 2.05795E-011,   -45.00, 2.05795E-011,  -135.00, 2.9457E-011,    98.88,          0,     0.00, 4.54747E-012,   180.00, 2.05795E-011,   135.00, 2.05795E-011,    45.00, 2.9457E-011,   -81.12,          0,     0.00, 4.54747E-012,     0.00
Line.LINE77, 1.56446E-011,   -98.78,    8.98547,  -162.00, 1.81899E-012,   180.00,          0,     0.00,    8.98547,  -162.00, 1.56446E-011,    81.22,    8.98547,    18.00, 1.81899E-012,     0.00,          0,     0.00,    8.98547,    18.00
Line.LINE78,    157.403,   -41.62,    156.314,  -162.20,    135.678,    78.25,          0,     0.00,      19.81,  -100.28,    157.403,   138.38,    156.314,    17.80,    135.678,  -101.75,          0,     0.00,      19.81,    79.72
Line.LINE79, 8.47516E-010,   164.05, 7.19989E-010,  -104.04, 5.20625E-010,    63.43,          0,     0.00, 7.567E-010,   180.00, 8.47516E-010,   -15.95, 7.19989E-010,    75.96, 5.20625E-010,  -116.57,          0,     0.00, 7.567E-010,     0.00
Line.LINE80, 5.83915E-009,  -169.08, 4.31287E-009,   -31.76, 1.18795E-008,    24.30,          0,     0.00, 8.89002E-009,     9.80, 5.83915E-009,    10.92, 4.31287E-009,   148.24, 1.18795E-008,  -155.70,          0,     0.00, 8.89002E-009,  -170.20
Line.LINE81, 2.99995E-011,   -14.04, 2.05795E-011,  -135.00, 2.93902E-011,    98.00,          0,     0.00, 1.2741E-011,    34.82, 2.99995E-011,   165.96, 2.05795E-011,    45.00, 2.93902E-011,   -82.00,          0,     0.00, 1.2741E-011,  -145.18
Line.LINE82, 8.11519E-012,    -0.80,    8.98547,  -162.00, 1.4559E-011,    91.79,          0,     0.00,    8.98547,  -162.00, 8.11519E-012,   179.20,    8.98547,    18.00, 1.4559E-011,   -88.21,          0,     0.00,    8.98547,    18.00
Line.LINE83,    157.403,   -41.62,    156.314,  -162.20,    135.678,    78.25,          0,     0.00,      19.81,  -100.28,    157.403,   138.38,    156.314,    17.80,    135.678,  -101.75,          0,     0.00,      19.81,    79.72
Line.LINE84, 1.27659E-009,   -46.85, 1.40183E-009,  -175.24, 4.79993E-010,    75.96,          0,     0.00, 7.10515E-010,  -124.99, 1.27659E-009,   133.15, 1.40183E-009,     4.76, 4.79993E-010,  -104.04,          0,     0.00, 7.10515E-010,    55.01
Line.LINE85, 5.92354E-009,  -170.95, 4.42543E-009,   -26.14, 1.17225E-008,    22.17,          0,     0.00, 9.11007E-009,     9.75, 5.92354E-009,     9.05, 4.42543E-009,   153.86, 1.17225E-008,  -157.83,          0,     0.00, 9.11007E-009,  -170.25
Line.LINE86,          0,     0.00, 2.91038E-011,     0.00, 5.45697E-012,   180.00,          0,     0.00, 2.36469E-011,     0.00,          0,     0.00, 2.91038E-011,   180.00, 5.45697E-012,     0.00,          0,     0.00, 2.36469E-011,   180.00
Line.LINE87,    157.403,   -41.62,    156.314,  -162.20,    135.678,    78.25,          0,     0.00,      19.81,  -100.28,    157.403,   138.38,    156.314,    17.80,    135.678,  -101.75,          0,     0.00,      19.81,    79.72
Line.LINE88, 9.13415E-010,   -30.65, 3.7835E-010,   180.00, 4.79993E-010,   104.04,          0,     0.00, 2.91038E-010,     0.00, 9.13415E-010,   149.35, 3.7835E-010,     0.00, 4.79993E-010,   -75.96,          0,     0.00, 2.91038E-010,   180.00
Line.LINE89, 6.18756E-009,  -175.68, 4.58623E-009,   -23.96, 1.14496E-008,    18.99,          0,     0.00, 8.95717E-009,     8.97, 6.18756E-009,     4.32, 4.58623E-009,   156.04, 1.14496E-008,  -161.01,          0,     0.00, 8.95717E-009,  -171.03
Line.LINE90, 5.82077E-011,    90.00, 5.82077E-011,     0.00, 7.27596E-012,   180.00,          0,     0.00, 7.73445E-011,    48.81, 5.82077E-011,   -90.00, 5.82077E-011,   180.00, 7.27596E-012,     0.00,          0,     0.00, 7.73445E-011,  -131.19
Line.LINE91,    157.403,   -41.62,    156.314,  -162.20,    135.678,    78.25,          0,     0.00,      19.81,  -100.28,    157.403,   138.38,    156.314,    17.80,    135.678,  -101.75,          0,     0.00,      19.81,    79.72
Line.LINE92, 3.75428E-009,  -172.87, 4.39304E-009,   -32.01, 9.31323E-009,     0.00,          0,     0.00, 9.72329E-009,   -16.70, 3.75428E-009,     7.13, 4.39304E-009,   147.99, 9.31323E-009,   180.00,          0,     0.00, 9.72329E-009,   163.30
Line.LINE93, 2.32831E-010,   180.00, 1.16415E-010,    90.00,          0,     0.00,          0,     0.00, 2.60313E-010,   153.43, 2.32831E-010,     0.00, 1.16415E-010,   -90.00,          0,     0.00,          0,     0.00, 2.60313E-010,   -26.57
Line.LINE94,    157.403,   -41.62,    156.314,  -162.20,    135.678,    78.25,          0,     0.00,      19.81,  -100.28,    157.403,   138.38,    156.314,    17.80,    135.678,  -101.75,          0,     0.00,      19.81,    79.72
Line.LINE95, 3.75428E-009,   150.26, 1.41625E-009,   -80.54, 8.13242E-009,    13.24,          0,     0.00, 5.4155E-009,    25.46, 3.75428E-009,   -29.74, 1.41625E-009,    99.46, 8.13242E-009,  -166.76,          0,     0.00, 5.4155E-009,  -154.54
Line.LINE96, 1.16415E-010,    90.00, 2.60313E-010,    26.57, 2.32944E-010,   -88.21,          0,     0.00, 2.40107E-010,     0.00, 1.16415E-010,   -90.00, 2.60313E-010,  -153.43, 2.32944E-010,    91.79,          0,     0.00, 2.40107E-010,   180.00
Line.LINE97,    157.403,   -41.62,    156.314,  -162.20,    135.678,    78.25,          0,     0.00,      19.81,  -100.28,    157.403,   138.38,    156.314,    17.80,    135.678,  -101.75,          0,     0.00,      19.81,    79.72
Line.LINE98, 5.6073E-009,   -41.63, 8.13242E-009,    13.24, 9.31323E-009,     0.00,          0,     0.00, 2.15013E-008,    -4.97, 5.6073E-009,   138.37, 8.13242E-009,  -166.76, 9.31323E-009,   180.00,          0,     0.00, 2.15013E-008,   175.03
Line.LINE99, 1.30156E-010,   153.43, 1.30156E-010,    26.57, 1.16472E-010,   -91.79,          0,     0.00, 3.63798E-012,   180.00, 1.30156E-010,   -26.57, 1.30156E-010,  -153.43, 1.16472E-010,    88.21,          0,     0.00, 3.63798E-012,     0.00
Line.LINE100,    157.403,   -41.62,    156.314,  -162.20,    135.678,    78.25,          0,     0.00,      19.81,  -100.28,    157.403,   138.38,    156.314,    17.80,    135.678,  -101.75,          0,     0.00,      19.81,    79.72
Line.LINE101, 2.75251E-009,   169.95, 3.29964E-009,   -99.71, 4.21003E-009,    46.54,          0,     0.00, 4.67137E-010,   142.59, 2.75251E-009,   -10.05, 3.29964E-009,    80.29, 4.21003E-009,  -133.46,          0,     0.00, 4.67137E-010,   -37.41
Line.LINE102, 3.25391E-011,   153.43,          0,     0.00, 2.91606E-011,   -93.58,          0,     0.00, 3.41757E-011,  -154.80, 3.25391E-011,   -26.57,          0,     0.00, 2.91606E-011,    86.42,          0,     0.00, 3.41757E-011,    25.20
Line.LINE103,    9.11235,   -41.73,    27.2887,  -162.06,    18.0035,    78.24,          0,     0.00,    15.8093,   168.49,    9.11235,   138.27,    27.2887,    17.94,    18.0035,  -101.76,          0,     0.00,    15.8093,   -11.51
Line.LINE104,    148.291,   -41.61,    129.025,  -162.23,    117.674,    78.26,          0,     0.00,    25.6087,   -62.17,    148.291,   138.39,    129.025,    17.77,    117.674,  -101.74,          0,     0.00,    25.6087,   117.83
Line.LINE105, 2.10837E-009,   173.66, 3.98542E-009,   -83.29, 4.91157E-009,    58.57,          0,     0.00, 1.04125E-009,    26.57, 2.10837E-009,    -6.34, 3.98542E-009,    96.71, 4.91157E-009,  -121.43,          0,     0.00, 1.04125E-009,  -153.43
Line.LINE106,    9.11235,   -41.73,    27.2887,  -162.06,    18.0035,    78.24,          0,     0.00,    15.8093,   168.49,    9.11235,   138.27,    27.2887,    17.94,    18.0035,  -101.76,          0,     0.00,    15.8093,   -11.51
Line.LINE107,    148.291,   -41.61,    129.025,  -162.23,    117.674,    78.26,          0,     0.00,    25.6087,   -62.17,    148.291,   138.39,    129.025,    17.77,    117.674,  -101.74,          0,     0.00,    25.6087,   117.83
Line.LINE108, 3.52337E-009,   172.41, 2.9451E-009,  -108.43, 4.84489E-009,    35.22,          0,     0.00, 6.58545E-010,   135.00, 3.52337E-009,    -7.59, 2.9451E-009,    71.57, 4.84489E-009,  -144.78,          0,     0.00, 6.58545E-010,   -45.00
Line.LINE109,    9.11235,   -41.73,    27.2887,  -162.06,    18.0035,    78.24,          0,     0.00,    15.8093,   168.49,    9.11235,   138.27,    27.2887,    17.94,    18.0035,  -101.76,          0,     0.00,    15.8093,   -11.51
